Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-12-22,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-12-23,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-12-24,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-12-28,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-12-29,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-12-30,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1998-12-31,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-04,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-05,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-06,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-07,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-08,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-11,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-12,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-13,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-14,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-15,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-19,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-20,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-21,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-22,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-25,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-26,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-27,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-28,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-29,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-01,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-02,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-03,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-04,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-05,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-08,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-09,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-10,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-11,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-12,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-16,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-17,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-18,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-19,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-22,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-23,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-24,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-25,IR.N,,,,,,0,,,,,,,,,,,,,,,,,,,
