Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1999-01-21,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-22,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-25,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-26,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-27,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-28,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-01-29,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-01,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-02,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-03,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-04,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-05,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-08,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-09,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-10,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-11,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-12,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-16,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-17,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-18,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-19,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-22,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-23,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-24,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-25,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-02-26,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-03-01,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-03-02,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-03-03,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
1999-03-04,FOXA.OQ,,,,,,0,,,,,,,,,,,,,,,,,,,
